job_id,utility_owner,contractor,scope_type,region,start_date,planned_end_date,actual_end_date,status,markout_required,markout_issues,inspections_failed,crew_type
PRG-2024-0001,Con Edison,Tri-State Utilities Inc,Planned Upgrade,Manhattan,2024-10-16,2024-10-28,,Open,True,1,0,Civil
PRG-2024-0002,Consolidated Gas,Consolidated Field Svcs,Service Install,Manhattan,2023-04-06,2023-04-24,,In Progress,False,0,2,Civil
PRG-2024-0003,Con Edison,Tri-State Utilities Inc,Main Repair,Manhattan,2023-06-13,2023-08-01,,In Progress,True,1,0,Gas
PRG-2024-0004,Consolidated Gas,XYZ Underground LLC,Main Repair,Staten Island,2023-12-19,2024-01-31,,In Progress,False,7,4,Water
PRG-2024-0005,Con Edison,Metro Civil Corp,Service Install,Suffolk,2024-09-25,2024-11-24,,In Progress,True,0,0,Gas
PRG-2024-0006,National Grid,Tri-State Utilities Inc,Main Repair,Staten Island,2023-10-12,2023-11-15,2023-11-25,Completed,True,1,1,Water
PRG-2024-0007,National Grid,Empire Excavation,Main Repair,Brooklyn,2025-01-16,2025-02-05,,Open,True,4,5,Gas
PRG-2024-0008,Consolidated Gas,Consolidated Field Svcs,Service Install,Queens,2024-02-15,2024-03-08,,Open,True,2,0,Civil
PRG-2024-0009,PSEG,Consolidated Field Svcs,Planned Upgrade,Manhattan,2024-07-28,2024-09-05,,In Progress,True,3,2,Civil
PRG-2024-0010,National Grid,Empire Excavation,Planned Upgrade,Suffolk,2023-04-23,2023-05-07,2023-07-05,Completed,True,1,3,Water
PRG-2024-0011,Consolidated Gas,Consolidated Field Svcs,Service Install,Manhattan,2025-01-08,2025-01-20,2025-01-24,Completed,True,2,2,Water
PRG-2024-0012,PSEG,Metro Civil Corp,Service Install,Queens,2025-01-06,2025-01-27,2025-02-06,Completed,True,0,2,Water
PRG-2024-0013,PSEG,Empire Excavation,Main Repair,Brooklyn,2024-06-27,2024-07-02,2024-07-11,Completed,True,0,0,Civil
PRG-2024-0014,PSEG,Consolidated Field Svcs,Valve Replacement,Staten Island,2025-01-19,2025-02-24,2025-03-04,Completed,False,1,0,Civil
PRG-2024-0015,National Grid,Metro Civil Corp,Emergency Repair,Staten Island,2024-07-06,2024-08-28,2024-09-07,Completed,False,2,1,Civil
PRG-2024-0016,Con Edison,XYZ Underground LLC,Main Repair,Brooklyn,2023-09-11,2023-09-30,,Open,True,8,1,Civil
PRG-2024-0017,Consolidated Gas,Tri-State Utilities Inc,Service Install,Suffolk,2023-12-05,2023-12-14,2023-12-23,Completed,False,3,0,Gas
PRG-2024-0018,Con Edison,Empire Excavation,Main Repair,Manhattan,2023-07-14,2023-07-25,,Open,False,5,3,Civil
PRG-2024-0019,PSEG,Empire Excavation,Main Repair,Manhattan,2023-09-12,2023-09-29,,Open,True,2,3,Civil
PRG-2024-0020,PSEG,XYZ Underground LLC,Emergency Repair,Bronx,2024-10-29,2024-12-07,2024-12-22,Completed,True,3,1,Gas
PRG-2024-0021,Consolidated Gas,Empire Excavation,Service Install,Brooklyn,2023-01-03,2023-02-01,,In Progress,False,4,3,Civil
PRG-2024-0022,PSEG,XYZ Underground LLC,Main Repair,Staten Island,2023-03-01,2023-04-12,2023-06-11,Completed,True,5,0,Civil
PRG-2024-0023,PSEG,Metro Civil Corp,Planned Upgrade,Staten Island,2023-03-12,2023-04-24,,Open,True,3,0,Water
PRG-2024-0024,PSEG,Consolidated Field Svcs,Valve Replacement,Manhattan,2023-03-25,2023-04-25,2023-04-30,Completed,True,2,1,Water
PRG-2024-0025,Con Edison,XYZ Underground LLC,Main Repair,Staten Island,2024-10-22,2024-11-15,2024-12-03,Completed,True,0,3,Water
PRG-2024-0026,National Grid,XYZ Underground LLC,Planned Upgrade,Suffolk,2023-09-29,2023-10-12,2023-12-09,Completed,True,3,2,Water
PRG-2024-0027,PSEG,XYZ Underground LLC,Valve Replacement,Queens,2024-07-21,2024-08-14,2024-09-19,Completed,True,2,2,Water
PRG-2024-0028,Con Edison,Tri-State Utilities Inc,Emergency Repair,Suffolk,2023-12-18,2024-01-05,2024-01-05,Completed,False,3,1,Civil
PRG-2024-0029,Con Edison,Tri-State Utilities Inc,Main Repair,Bronx,2023-01-04,2023-01-30,2023-02-05,Completed,True,1,2,Water
PRG-2024-0030,National Grid,Consolidated Field Svcs,Main Repair,Queens,2023-02-06,2023-04-05,,In Progress,True,1,1,Water
PRG-2024-0031,PSEG,Consolidated Field Svcs,Service Install,Manhattan,2023-09-13,2023-10-30,,Open,True,3,2,Civil
PRG-2024-0032,Con Edison,Empire Excavation,Emergency Repair,Suffolk,2025-01-24,2025-02-19,2025-05-04,Completed,True,3,2,Gas
PRG-2024-0033,PSEG,Empire Excavation,Main Repair,Nassau,2023-08-16,2023-09-02,2023-09-09,Completed,True,5,2,Gas
PRG-2024-0034,National Grid,Tri-State Utilities Inc,Main Repair,Bronx,2023-12-03,2023-12-25,2024-01-04,Completed,False,2,2,Civil
PRG-2024-0035,Consolidated Gas,Consolidated Field Svcs,Planned Upgrade,Staten Island,2024-08-17,2024-09-07,,Open,True,3,1,Gas
PRG-2024-0036,PSEG,Empire Excavation,Valve Replacement,Manhattan,2024-08-13,2024-08-30,,In Progress,True,0,4,Water
PRG-2024-0037,National Grid,XYZ Underground LLC,Emergency Repair,Nassau,2023-12-05,2024-01-18,,In Progress,False,4,4,Water
PRG-2024-0038,Con Edison,Empire Excavation,Valve Replacement,Queens,2023-05-11,2023-05-28,,In Progress,True,2,4,Gas
PRG-2024-0039,Consolidated Gas,Empire Excavation,Service Install,Nassau,2024-08-16,2024-09-28,2024-10-14,Completed,True,7,3,Gas
PRG-2024-0040,PSEG,Tri-State Utilities Inc,Service Install,Bronx,2024-06-11,2024-07-28,2024-07-31,Completed,True,0,0,Civil
PRG-2024-0041,PSEG,XYZ Underground LLC,Emergency Repair,Manhattan,2024-05-01,2024-06-14,2024-07-02,Completed,False,7,3,Civil
PRG-2024-0042,Consolidated Gas,XYZ Underground LLC,Main Repair,Staten Island,2023-06-01,2023-07-17,2023-09-29,Completed,True,6,1,Civil
PRG-2024-0043,Consolidated Gas,Consolidated Field Svcs,Planned Upgrade,Manhattan,2024-04-12,2024-04-25,2024-05-03,Completed,True,2,1,Water
PRG-2024-0044,National Grid,Metro Civil Corp,Emergency Repair,Bronx,2024-05-01,2024-06-03,,In Progress,False,2,2,Civil
PRG-2024-0045,PSEG,Consolidated Field Svcs,Service Install,Bronx,2023-10-06,2023-11-01,,In Progress,False,0,0,Gas
PRG-2024-0046,Con Edison,XYZ Underground LLC,Planned Upgrade,Manhattan,2023-12-05,2024-01-13,2024-04-01,Completed,False,3,3,Civil
PRG-2024-0047,PSEG,Empire Excavation,Emergency Repair,Brooklyn,2023-12-27,2024-01-20,2024-02-08,Completed,False,8,5,Gas
PRG-2024-0048,Con Edison,Empire Excavation,Emergency Repair,Staten Island,2024-05-12,2024-05-18,,In Progress,True,2,3,Civil
PRG-2024-0049,PSEG,Empire Excavation,Emergency Repair,Queens,2024-10-20,2024-11-21,,Open,False,2,0,Gas
PRG-2024-0050,Con Edison,Empire Excavation,Valve Replacement,Brooklyn,2023-10-12,2023-12-04,2023-12-21,Completed,True,4,0,Water
PRG-2024-0051,PSEG,Metro Civil Corp,Emergency Repair,Nassau,2023-02-11,2023-04-05,,Open,True,1,0,Water
PRG-2024-0052,PSEG,Tri-State Utilities Inc,Valve Replacement,Bronx,2023-08-12,2023-09-15,2023-09-16,Completed,True,1,2,Gas
PRG-2024-0053,PSEG,Empire Excavation,Main Repair,Nassau,2024-08-12,2024-09-29,2024-12-05,Completed,False,6,5,Water
PRG-2024-0054,National Grid,Consolidated Field Svcs,Main Repair,Staten Island,2024-09-06,2024-11-01,,Open,False,0,1,Civil
PRG-2024-0055,PSEG,Empire Excavation,Emergency Repair,Brooklyn,2024-03-06,2024-05-02,2024-05-16,Completed,False,5,5,Water
PRG-2024-0056,National Grid,Empire Excavation,Emergency Repair,Brooklyn,2024-07-05,2024-08-28,2024-08-30,Completed,False,4,2,Water
PRG-2024-0057,National Grid,XYZ Underground LLC,Valve Replacement,Queens,2024-09-16,2024-11-02,,In Progress,False,7,2,Water
PRG-2024-0058,Consolidated Gas,Consolidated Field Svcs,Planned Upgrade,Suffolk,2024-12-19,2025-01-10,2025-01-16,Completed,True,1,0,Water
PRG-2024-0059,PSEG,Empire Excavation,Valve Replacement,Nassau,2024-05-02,2024-06-17,2024-08-11,Completed,False,0,0,Gas
PRG-2024-0060,National Grid,Consolidated Field Svcs,Valve Replacement,Brooklyn,2024-07-20,2024-08-27,,In Progress,True,2,1,Water
PRG-2024-0061,National Grid,Consolidated Field Svcs,Planned Upgrade,Suffolk,2023-07-17,2023-08-11,,Open,False,1,0,Civil
PRG-2024-0062,National Grid,Metro Civil Corp,Main Repair,Bronx,2023-07-18,2023-08-10,,In Progress,False,2,0,Water
PRG-2024-0063,Consolidated Gas,Empire Excavation,Emergency Repair,Queens,2023-05-10,2023-06-24,2023-07-09,Completed,True,1,0,Civil
PRG-2024-0064,Con Edison,XYZ Underground LLC,Service Install,Brooklyn,2023-09-16,2023-11-15,2024-01-24,Completed,False,6,3,Civil
PRG-2024-0065,Consolidated Gas,Empire Excavation,Valve Replacement,Suffolk,2023-09-12,2023-09-24,2023-12-21,Completed,False,3,4,Gas
PRG-2024-0066,Con Edison,XYZ Underground LLC,Service Install,Brooklyn,2024-08-05,2024-09-18,,Open,True,3,5,Water
PRG-2024-0067,National Grid,Empire Excavation,Emergency Repair,Bronx,2023-03-18,2023-04-02,,Open,True,7,2,Gas
PRG-2024-0068,PSEG,Metro Civil Corp,Valve Replacement,Suffolk,2024-10-02,2024-11-13,2024-11-23,Completed,True,3,0,Civil
